planetlab6.cs.cornell.edu,128.84.154.45,00:18:FE:86:6A:B9,(42.4485~-76.4804),a.espncdn.com,128.253.155.79,<unavailable>,(42.4485~-76.4804),Sun Nov 18 22:10:34 +0000 2012,none,0,<error>,0.292,http://a.espncdn.com/combiner/c/?css=modules/sc-feed/sc-feed-callout-default.css
planetlab6.cs.cornell.edu,128.84.154.45,00:18:FE:86:6A:B9,(42.4485~-76.4804),ad.Doubleclick.net,74.125.228.60,<unavailable>,(37.4192~-122.0574),Sun Nov 18 22:10:35 +0000 2012,none,0,<error>,19.3,http://ad.Doubleclick.net/adj/
planetlab6.cs.cornell.edu,128.84.154.45,00:18:FE:86:6A:B9,(42.4485~-76.4804),ad.Doubleclick.net,74.125.228.60,<unavailable>,(37.4192~-122.0574),Sun Nov 18 22:10:35 +0000 2012,none,0,<error>,19.0,http://ad.Doubleclick.net/adj/
planetlab6.cs.cornell.edu,128.84.154.45,00:18:FE:86:6A:B9,(42.4485~-76.4804),ad.Doubleclick.net,74.125.228.59,<unavailable>,(37.4192~-122.0574),Sun Nov 18 22:10:35 +0000 2012,none,0,<error>,19.1,http://ad.Doubleclick.net/adj/
planetlab6.cs.cornell.edu,128.84.154.45,00:18:FE:86:6A:B9,(42.4485~-76.4804),ad.Doubleclick.net,74.125.228.59,<unavailable>,(37.4192~-122.0574),Sun Nov 18 22:10:35 +0000 2012,none,0,<error>,19.1,http://ad.Doubleclick.net/adj/
planetlab6.cs.cornell.edu,128.84.154.45,00:18:FE:86:6A:B9,(42.4485~-76.4804),ad.Doubleclick.net,74.125.228.60,<unavailable>,(37.4192~-122.0574),Sun Nov 18 22:10:36 +0000 2012,none,0,<error>,20.6,http://ad.Doubleclick.net/adj/
planetlab6.cs.cornell.edu,128.84.154.45,00:18:FE:86:6A:B9,(42.4485~-76.4804),ad.Doubleclick.net,74.125.228.59,<unavailable>,(37.4192~-122.0574),Sun Nov 18 22:10:36 +0000 2012,none,0,<error>,20.6,http://ad.Doubleclick.net/adj/
planetlab6.cs.cornell.edu,128.84.154.45,00:18:FE:86:6A:B9,(42.4485~-76.4804),ad.Doubleclick.net,74.125.228.60,<unavailable>,(37.4192~-122.0574),Sun Nov 18 22:10:36 +0000 2012,none,0,<error>,19.4,http://ad.Doubleclick.net/adj/
planetlab6.cs.cornell.edu,128.84.154.45,00:18:FE:86:6A:B9,(42.4485~-76.4804),ad.Doubleclick.net,74.125.228.60,<unavailable>,(37.4192~-122.0574),Sun Nov 18 22:10:37 +0000 2012,none,0,<error>,19.2,http://ad.Doubleclick.net/adj/
planetlab6.cs.cornell.edu,128.84.154.45,00:18:FE:86:6A:B9,(42.4485~-76.4804),ad.Doubleclick.net,74.125.228.60,<unavailable>,(37.4192~-122.0574),Sun Nov 18 22:10:37 +0000 2012,none,0,<error>,19.0,http://ad.Doubleclick.net/adj/
planetlab6.cs.cornell.edu,128.84.154.45,00:18:FE:86:6A:B9,(42.4485~-76.4804),ad.Doubleclick.net,74.125.228.59,<unavailable>,(37.4192~-122.0574),Sun Nov 18 22:10:37 +0000 2012,none,0,<error>,18.8,http://ad.Doubleclick.net/adj/
